偏差rank,-,着順,出現率,出現数
AAAABD,1,1-5-2,100.00%,1
AAAACD,1,1-3-2,16.67%,7
AAAACD,2,1-2-4,11.90%,5
AAAACD,3,1-2-3,9.52%,4
AAAACD,4,1-4-2,7.14%,3
AAAACD,5,1-4-3,7.14%,3
AAAACD,6,1-3-4,4.76%,2
AAAACD,7,6-4-3,2.38%,1
AAAACD,8,6-2-1,2.38%,1
AAAACD,9,4-5-3,2.38%,1
AAAACD,10,4-2-1,2.38%,1
AAAADB,1,1-3-4,100.00%,1
AAAADC,1,1-4-3,13.16%,5
AAAADC,2,1-2-4,10.53%,4
AAAADC,3,2-1-4,7.89%,3
AAAADC,4,2-3-4,7.89%,3
AAAADC,5,3-1-4,7.89%,3
AAAADC,6,1-3-4,7.89%,3
AAAADC,7,1-2-3,7.89%,3
AAAADC,8,1-4-2,5.26%,2
AAAADC,9,1-2-6,5.26%,2
AAAADC,10,2-4-3,2.63%,1
AAAADD,1,1-3-2,12.39%,14
AAAADD,2,1-2-4,9.73%,11
AAAADD,3,1-4-2,8.85%,10
AAAADD,4,2-1-3,7.96%,9
AAAADD,5,1-4-3,7.08%,8
AAAADD,6,1-3-4,7.08%,8
AAAADD,7,1-2-3,6.19%,7
AAAADD,8,2-1-4,4.42%,5
AAAADD,9,3-1-2,3.54%,4
AAAADD,10,2-3-1,2.65%,3
AAABAD,1,2-3-4,20.00%,1
AAABAD,2,1-4-5,20.00%,1
AAABAD,3,1-3-5,20.00%,1
AAABAD,4,1-2-5,20.00%,1
AAABAD,5,1-2-4,20.00%,1
AAABBC,1,1-4-2,100.00%,1
AAABBD,1,1-2-3,15.32%,19
AAABBD,2,1-3-2,14.52%,18
AAABBD,3,1-2-4,8.06%,10
AAABBD,4,1-2-5,5.65%,7
AAABBD,5,3-1-2,4.84%,6
AAABBD,6,1-3-5,4.84%,6
AAABBD,7,2-1-4,4.03%,5
AAABBD,8,1-3-4,3.23%,4
AAABBD,9,1-3-6,3.23%,4
AAABBD,10,1-5-3,3.23%,4
AAABCB,1,6-1-2,100.00%,1
AAABCC,1,1-3-4,10.77%,7
AAABCC,2,2-1-3,10.77%,7
AAABCC,3,1-2-3,10.77%,7
AAABCC,4,1-2-5,7.69%,5
AAABCC,5,1-3-2,6.15%,4
AAABCC,6,4-1-2,4.62%,3
AAABCC,7,1-5-3,3.08%,2
AAABCC,8,1-5-2,3.08%,2
AAABCC,9,1-3-5,3.08%,2
AAABCC,10,1-4-5,3.08%,2
AAABCD,1,1-2-3,17.29%,65
AAABCD,2,1-3-2,11.44%,43
AAABCD,3,1-3-4,5.59%,21
AAABCD,4,2-1-3,5.32%,20
AAABCD,5,1-2-4,5.32%,20
AAABCD,6,1-4-2,4.79%,18
AAABCD,7,2-1-4,4.26%,16
AAABCD,8,1-4-3,3.72%,14
AAABCD,9,2-3-1,2.93%,11
AAABCD,10,3-1-2,2.93%,11
AAABDA,1,4-1-2,100.00%,1
AAABDB,1,1-2-3,20.31%,13
AAABDB,2,2-1-3,10.94%,7
AAABDB,3,1-2-4,6.25%,4
AAABDB,4,1-3-4,6.25%,4
AAABDB,5,3-1-4,4.69%,3
